~/HirewayManager$ python3 scripts/import_onet_to_db.py
2025-01-03 02:29:25,989 - INFO - Starting data import process...
2025-01-03 02:29:25,989 - INFO - Reading CSV files...
2025-01-03 02:29:26,026 - INFO - Successfully read 1016 occupations and 55120 alternative titles
2025-01-03 02:29:26,504 - INFO - Successfully connected to database
2025-01-03 02:29:26,505 - INFO - Processing major groups...
2025-01-03 02:29:26,668 - INFO - Inserted 23 major groups
2025-01-03 02:29:26,668 - INFO - Processing minor groups...
2025-01-03 02:29:26,829 - INFO - Inserted 113 minor groups
2025-01-03 02:29:26,829 - INFO - Processing alternative titles...
2025-01-03 02:29:28,749 - INFO - Processing detailed occupations...
2025-01-03 02:29:28,764 - WARNING - Duplicate SOC code found: 17-2199, skipping...
2025-01-03 02:29:28,764 - WARNING - Duplicate SOC code found: 17-2199, skipping...
2025-01-03 02:29:28,764 - WARNING - Duplicate SOC code found: 17-2199, skipping...
2025-01-03 02:29:28,764 - WARNING - Duplicate SOC code found: 17-2199, skipping...
2025-01-03 02:29:28,764 - WARNING - Duplicate SOC code found: 17-2199, skipping...
2025-01-03 02:29:28,765 - WARNING - Duplicate SOC code found: 17-3024, skipping...
2025-01-03 02:29:28,765 - WARNING - Duplicate SOC code found: 17-3026, skipping...
2025-01-03 02:29:28,765 - WARNING - Duplicate SOC code found: 17-3027, skipping...
2025-01-03 02:29:28,766 - WARNING - Duplicate SOC code found: 17-3029, skipping...
2025-01-03 02:29:28,766 - WARNING - Duplicate SOC code found: 17-3029, skipping...
2025-01-03 02:29:28,766 - WARNING - Duplicate SOC code found: 19-1029, skipping...
2025-01-03 02:29:28,766 - WARNING - Duplicate SOC code found: 19-1029, skipping...
2025-01-03 02:29:28,766 - WARNING - Duplicate SOC code found: 19-1029, skipping...
2025-01-03 02:29:28,766 - WARNING - Duplicate SOC code found: 19-1029, skipping...
2025-01-03 02:29:28,767 - WARNING - Duplicate SOC code found: 19-1031, skipping...
2025-01-03 02:29:28,767 - WARNING - Duplicate SOC code found: 19-1031, skipping...
2025-01-03 02:29:28,767 - WARNING - Duplicate SOC code found: 19-3099, skipping...
2025-01-03 02:29:28,767 - WARNING - Duplicate SOC code found: 19-2041, skipping...
2025-01-03 02:29:28,768 - WARNING - Duplicate SOC code found: 19-2041, skipping...
2025-01-03 02:29:28,768 - WARNING - Duplicate SOC code found: 19-2041, skipping...
2025-01-03 02:29:28,768 - WARNING - Duplicate SOC code found: 19-2099, skipping...
2025-01-03 02:29:28,768 - WARNING - Duplicate SOC code found: 19-3011, skipping...
2025-01-03 02:29:28,768 - WARNING - Duplicate SOC code found: 19-3039, skipping...
2025-01-03 02:29:28,768 - WARNING - Duplicate SOC code found: 19-3039, skipping...
2025-01-03 02:29:28,769 - WARNING - Duplicate SOC code found: 19-4012, skipping...
2025-01-03 02:29:28,769 - WARNING - Duplicate SOC code found: 19-4051, skipping...
2025-01-03 02:29:28,770 - WARNING - Duplicate SOC code found: 19-4099, skipping...
2025-01-03 02:29:28,770 - WARNING - Duplicate SOC code found: 19-4099, skipping...
2025-01-03 02:29:28,773 - WARNING - Duplicate SOC code found: 25-2059, skipping...
2025-01-03 02:29:28,775 - WARNING - Duplicate SOC code found: 27-2012, skipping...
2025-01-03 02:29:28,775 - WARNING - Duplicate SOC code found: 27-2012, skipping...
2025-01-03 02:29:28,775 - WARNING - Duplicate SOC code found: 27-2012, skipping...
2025-01-03 02:29:28,776 - WARNING - Duplicate SOC code found: 27-3043, skipping...
2025-01-03 02:29:28,777 - WARNING - Duplicate SOC code found: 29-1071, skipping...
2025-01-03 02:29:28,777 - WARNING - Duplicate SOC code found: 29-1122, skipping...
2025-01-03 02:29:28,778 - WARNING - Duplicate SOC code found: 29-1129, skipping...
2025-01-03 02:29:28,778 - WARNING - Duplicate SOC code found: 29-1129, skipping...
2025-01-03 02:29:28,778 - WARNING - Duplicate SOC code found: 29-1141, skipping...
2025-01-03 02:29:28,778 - WARNING - Duplicate SOC code found: 29-1141, skipping...
2025-01-03 02:29:28,778 - WARNING - Duplicate SOC code found: 29-1141, skipping...
2025-01-03 02:29:28,778 - WARNING - Duplicate SOC code found: 29-1141, skipping...
2025-01-03 02:29:28,779 - WARNING - Duplicate SOC code found: 29-1229, skipping...
2025-01-03 02:29:28,779 - WARNING - Duplicate SOC code found: 29-1229, skipping...
2025-01-03 02:29:28,780 - WARNING - Duplicate SOC code found: 29-1229, skipping...
2025-01-03 02:29:28,780 - WARNING - Duplicate SOC code found: 29-1229, skipping...
